Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,15822,0,110,107.02578117022472,101.08691704226658,226.21212503872812,59.768297307546455,267.80878871542865,0.0,110,110,110,110,110,120,120,130,200,230,230
POST,/set,1720,0,610,608.8875495588412,602.7744169696234,697.0367910107598,71.75523255813954,29.113330589719208,0.0,610,610,610,610,610,620,620,630,670,700,700
,Aggregated,17542,0,110,156.23352496388682,101.08691704226658,697.0367910107598,60.94362102382853,296.9221193051479,0.0,110,110,110,110,170,610,610,610,630,670,700
