timestamp,request_type,key,latency_ms,stale,returned_version,latest_version,interval_ms,status_code
1775114868.898279,read,k1,116.53804779052734,False,40,0,,200
1775114868.898508,read,k3,112.2901439666748,False,45,0,,200
1775114868.915682,read,k5,129.99391555786133,False,54,0,,200
1775114868.915831,read,k4,129.34517860412598,False,48,0,,200
1775114868.920228,read,k5,133.45813751220703,False,54,0,,200
1775114868.920342,read,k4,134.94467735290527,False,48,0,,200
1775114868.923288,read,k2,137.33577728271484,False,55,0,,200
1775114868.92358,read,k2,137.49289512634277,False,55,0,,200
1775114869.0093598,read,k4,108.99186134338379,False,49,0,,200
1775114869.009818,read,k3,109.18092727661133,False,46,0,,200
1775114869.061381,read,k1,136.46793365478516,False,40,0,,200
1775114869.0616949,read,k1,136.64793968200684,False,40,0,,200
1775114869.061888,read,k4,134.71007347106934,False,49,0,,200
1775114869.062059,read,k2,143.3267593383789,False,55,0,,200
1775114869.0622349,read,k1,136.46388053894043,False,40,0,,200
1775114869.0624099,read,k3,134.13095474243164,False,46,0,,200
1775114869.115936,read,k5,105.21483421325684,False,54,0,,200
1775114869.146376,read,k1,128.6461353302002,False,40,0,,200
1775114869.288071,read,k4,216.85290336608887,False,49,0,,200
1775114869.288586,read,k1,217.24700927734375,False,41,0,,200
1775114869.288748,read,k1,224.24602508544922,False,40,0,,200
1775114869.288872,read,k1,223.76132011413574,False,40,0,,200
1775114869.290452,read,k1,141.14093780517578,False,41,0,,200
1775114869.4162712,read,k2,116.18304252624512,False,56,0,,200
1775114869.416785,read,k4,116.62697792053223,False,49,0,,200
1775114869.442125,write,k3,655.7450294494629,False,46,46,,201
1775114869.442823,read,k5,142.9119110107422,False,54,0,,200
1775114869.443139,read,k1,143.45192909240723,False,41,0,,200
1775114869.443396,write,k4,656.7659378051758,False,49,49,,201
1775114869.4436932,read,k3,152.69088745117188,False,47,46,1.5668869018554688,200
1775114869.531611,read,k5,106.38594627380371,False,54,0,,200
1775114869.572221,read,k5,120.20397186279297,False,54,0,,200
1775114869.5726001,read,k2,124.66907501220703,False,56,0,,200
1775114869.5729961,read,k3,119.86899375915527,False,47,46,130.86700439453125,200
1775114869.5734751,read,k5,126.28006935119629,False,54,0,,200
1775114869.648393,read,k5,110.21971702575684,False,55,0,,200
1775114869.685028,read,k5,110.99386215209961,False,55,0,,200
1775114869.691537,write,k1,620.8841800689697,False,41,41,,201
1775114869.692024,write,k3,627.11501121521,False,47,47,,201
1775114869.698863,read,k5,115.3569221496582,False,55,0,,200
1775114869.712687,read,k3,130.90109825134277,False,47,47,20.660877227783203,200
1775114869.7131891,read,k2,130.63287734985352,False,56,0,,200
1775114869.751195,write,k2,622.3900318145752,False,56,56,,201
1775114869.76827,read,k2,109.38906669616699,False,56,56,17.071962356567383,200
1775114869.814992,read,k3,126.4808177947998,False,47,47,122.95699119567871,200
1775114869.818027,read,k5,118.55602264404297,False,55,0,,200
1775114869.8222778,read,k3,124.86910820007324,False,47,47,130.2509307861328,200
1775114869.822737,read,k4,118.38793754577637,False,49,49,379.34017181396484,200
1775114869.823039,read,k5,108.17694664001465,False,55,0,,200
1775114869.8386219,read,k5,121.73008918762207,False,55,0,,200
1775114869.874251,read,k4,107.93495178222656,False,49,49,430.85193634033203,200
1775114869.8830562,read,k2,106.73713684082031,False,56,56,131.86216354370117,200
1775114869.9262779,read,k2,142.8990364074707,False,56,56,175.08196830749512,200
1775114869.9344158,read,k5,121.34981155395508,False,56,0,,200
1775114869.943629,read,k3,159.35301780700684,False,47,47,251.6007423400879,200
1775114869.9483352,read,k5,116.70780181884766,False,56,0,,200
1775114869.948552,read,k2,137.6321315765381,False,56,56,197.36099243164062,200
1775114869.949196,read,k1,137.07709312438965,False,42,41,257.659912109375,200
1775114869.952231,read,k3,109.7259521484375,False,49,47,260.2059841156006,200
1775114869.9524531,read,k1,139.95099067687988,False,42,41,260.91790199279785,200
1775114869.952957,read,k3,129.52089309692383,False,48,47,260.93196868896484,200
1775114869.9532712,read,k2,124.93896484375,False,57,56,202.07905769348145,200
1775114869.9534929,read,k4,127.14791297912598,False,49,49,510.0970268249512,200
1775114869.9537039,read,k1,140.14577865600586,False,42,41,262.16888427734375,200
1775114869.990295,read,k4,108.31284523010254,False,49,49,546.8969345092773,200
1775114870.002625,read,k3,110.30197143554688,False,49,47,310.60099601745605,200
1775114870.032568,write,k1,610.5599403381348,False,42,42,,201
1775114870.0630798,read,k2,118.24297904968262,False,57,56,311.88416481018066,200
1775114870.0640562,read,k3,114.34769630432129,False,49,47,372.02978134155273,200
1775114870.064451,read,k1,115.83828926086426,False,42,42,31.88323974609375,200
1775114870.064739,read,k2,109.91692543029785,False,57,56,313.54713439941406,200
1775114870.0663738,read,k4,109.44008827209473,False,50,49,622.9770183563232,200
1775114870.067233,read,k4,110.62002182006836,False,50,49,623.8369941711426,200
1775114870.078356,write,k5,624.7198581695557,False,55,55,,201
1775114870.080236,read,k5,118.12710762023926,False,56,55,1.8799304962158203,200
1775114870.080755,read,k5,119.31967735290527,False,56,55,2.3992061614990234,200
1775114870.1034298,read,k3,111.61613464355469,False,50,47,411.40294075012207,200
1775114870.116931,read,k1,106.60004615783691,False,43,42,84.36203002929688,200
1775114870.143979,read,k1,106.36520385742188,False,43,42,111.39512062072754,200
1775114870.172086,read,k4,105.4227352142334,False,51,49,728.6889553070068,200
1775114870.1740391,read,k4,103.70087623596191,False,51,49,730.6430339813232,200
1775114870.195204,read,k4,122.12109565734863,False,51,49,751.8050670623779,200
1775114870.1959648,read,k5,124.4668960571289,False,56,55,117.60926246643066,200
1775114870.196331,read,k3,109.68017578125,False,50,47,504.3058395385742,200
1775114870.199748,read,k2,123.931884765625,False,57,56,448.55499267578125,200
1775114870.204231,read,k2,118.17097663879395,False,57,56,453.0189037322998,200
1775114870.2049448,read,k5,117.16985702514648,False,57,55,126.58905982971191,200
1775114870.2143629,read,k5,106.3070297241211,False,57,55,136.00611686706543,200
1775114870.262369,read,k4,108.14332962036133,False,51,49,818.9709186553955,200
1775114870.280158,read,k1,103.96695137023926,False,44,42,247.5893497467041,200
1775114870.312583,read,k3,107.46121406555176,False,51,47,620.5580234527588,200
1775114870.312824,read,k1,114.44091796875,False,44,42,280.2572250366211,200
1775114870.313029,read,k3,110.63694953918457,False,51,47,621.0050582885742,200
1775114870.313215,read,k1,113.04211616516113,False,44,42,280.64799308776855,200
1775114870.319684,read,k3,106.4600944519043,False,51,47,627.6588439941406,200
1775114870.331629,read,k2,109.93289947509766,False,58,56,580.4328918457031,200
1775114870.376718,read,k2,103.46794128417969,False,58,56,625.5218982696533,200
1775114870.3938859,read,k2,104.43115234375,False,58,56,642.6911354064941,200
1775114870.422146,read,k2,104.16507720947266,False,58,56,670.9508895874023,200
1775114870.426867,read,k4,105.39507865905762,False,51,49,983.4680557250977,200
1775114870.430609,read,k4,110.86010932922363,False,51,49,987.2112274169922,200
1775114870.430955,read,k4,108.57415199279785,False,51,49,987.5578880310059,200
1775114870.4336362,read,k3,105.26704788208008,False,51,47,741.6098117828369,200
1775114870.444202,write,k5,632.5249671936035,False,56,56,,201
1775114870.4458618,read,k1,108.06488990783691,False,44,42,413.29312324523926,200
1775114870.450628,write,k3,641.024112701416,False,48,48,,201
1775114870.453967,write,k3,633.317232131958,False,49,49,,201
1775114870.45421,write,k2,643.8851356506348,False,57,57,,201
1775114870.484739,read,k1,104.39014434814453,False,44,42,452.16917991638184,200
1775114870.501322,read,k3,103.52897644042969,False,51,49,47.3480224609375,200
1775114870.5346391,read,k3,105.56387901306152,False,51,49,80.66892623901367,200
1775114870.5349581,write,k4,607.2390079498291,False,50,50,,201
1775114870.53875,read,k1,106.10818862915039,False,44,42,506.1819553375244,200
1775114870.54829,read,k2,111.04798316955566,False,58,57,94.07901763916016,200
1775114870.5536058,read,k3,104.27379608154297,False,51,49,99.63703155517578,200
1775114870.553893,read,k5,113.81077766418457,False,57,56,109.69209671020508,200
1775114870.574965,read,k3,115.5397891998291,False,51,49,120.99409103393555,200
1775114870.5755498,read,k2,116.4240837097168,False,58,57,121.33622169494629,200
1775114870.576354,read,k2,116.70994758605957,False,58,57,122.14112281799316,200
1775114870.5769038,write,k3,623.1107711791992,False,50,50,,201
1775114870.578337,write,k4,615.7710552215576,False,51,51,,201
1775114870.578801,write,k1,616.9509887695312,False,43,43,,201
1775114870.596957,read,k1,104.62284088134766,False,45,43,18.156051635742188,200
1775114870.606507,read,k5,103.07097434997559,False,57,56,162.3070240020752,200
1775114870.6417558,read,k4,102.91099548339844,False,52,51,63.41814994812012,200
1775114870.647785,read,k3,103.98411750793457,False,51,50,70.88184356689453,200
1775114870.656941,read,k2,102.65707969665527,False,58,57,202.7301788330078,200
1775114870.67789,read,k1,115.814208984375,False,45,43,99.08890724182129,200
1775114870.68632,read,k5,124.9849796295166,False,57,56,242.11716651916504,200
1775114870.689875,write,k5,615.6010627746582,False,57,57,,201
1775114870.691999,read,k5,109.8017692565918,False,57,57,2.123117446899414,200
1775114870.692397,read,k3,109.91907119750977,False,51,50,115.4940128326416,200
1775114870.692696,read,k2,106.62198066711426,False,58,57,238.48414421081543,200
1775114870.692962,read,k1,108.81876945495605,False,45,43,114.16292190551758,200
1775114870.6932201,read,k4,112.46323585510254,False,53,51,114.8841381072998,200
1775114870.693553,read,k2,110.6100082397461,False,58,57,239.34221267700195,200
1775114870.711802,read,k5,106.63914680480957,False,57,57,21.924972534179688,200
1775114870.7176802,read,k5,104.88700866699219,False,57,57,27.80604362487793,200
1775114870.731934,write,k1,609.2731952667236,False,44,44,,201
1775114870.756408,read,k2,104.6147346496582,False,58,57,302.19411849975586,200
1775114870.757922,read,k1,103.98626327514648,False,45,44,25.990009307861328,200
1775114870.768609,read,k2,104.22420501708984,False,58,57,314.39900398254395,200
1775114870.78978,write,k3,612.6980781555176,False,51,51,,201
1775114870.808415,read,k5,114.75992202758789,False,57,57,118.54076385498047,200
1775114870.8094878,read,k4,110.0621223449707,False,53,51,231.15015029907227,200
1775114870.809909,read,k5,114.28308486938477,False,57,57,120.03588676452637,200
1775114870.81014,read,k3,113.98601531982422,False,51,51,20.360231399536133,200
1775114870.811199,read,k4,122.33972549438477,False,53,51,232.8641414642334,200
1775114870.8118122,read,k1,109.86900329589844,False,46,44,79.8799991607666,200
1775114870.812011,read,k3,110.55207252502441,False,51,51,22.2320556640625,200
1775114870.813483,write,k2,606.8580150604248,False,58,58,,201
1775114870.821808,read,k2,105.10110855102539,False,59,58,8.32223892211914,200
1775114870.837077,read,k5,108.30211639404297,False,57,57,147.2017765045166,200
1775114870.8589282,read,k1,116.13678932189941,False,46,44,126.99508666992188,200
1775114870.864342,read,k1,103.27696800231934,False,46,44,132.41004943847656,200
1775114870.865047,read,k2,102.8449535369873,False,59,58,51.56421661376953,200
1775114870.875654,read,k1,103.77287864685059,False,46,44,143.7220573425293,200
1775114870.905489,read,k2,109.16423797607422,False,59,58,92.00119972229004,200
1775114870.9068391,read,k1,119.91095542907715,False,46,44,174.90601539611816,200
1775114870.909318,read,k5,123.93712997436523,False,57,57,219.44308280944824,200
1775114870.9096682,read,k1,121.52314186096191,False,46,44,177.7350902557373,200
1775114870.911792,read,k3,124.21894073486328,False,51,51,122.01333045959473,200
1775114870.911999,read,k4,124.1450309753418,False,53,51,333.6639404296875,200
1775114870.912181,read,k1,123.72207641601562,False,46,44,180.24897575378418,200
1775114870.9141839,read,k4,126.91092491149902,False,53,51,335.8490467071533,200
1775114870.9144058,read,k5,125.66208839416504,False,57,57,224.531888961792,200
1775114870.914666,read,k1,129.7438144683838,False,46,44,182.73282051086426,200
1775114870.916079,read,k3,102.97703742980957,False,51,51,126.29818916320801,200
1775114870.9164228,read,k3,103.6081314086914,False,51,51,126.64437294006348,200
1775114870.916676,read,k5,105.41892051696777,False,57,57,226.80306434631348,200
1775114870.9265542,read,k2,103.57403755187988,False,60,58,113.07024955749512,200
1775114870.926879,read,k4,106.56499862670898,False,54,51,348.5429286956787,200
1775114870.927565,read,k2,107.74493217468262,False,60,58,114.08114433288574,200
1775114870.930655,read,k2,104.47192192077637,False,60,58,117.17104911804199,200
1775114870.9515,read,k1,108.29472541809082,False,47,44,219.56491470336914,200
1775114870.978291,read,k4,104.57181930541992,False,54,51,399.95312690734863,200
1775114870.9788978,read,k2,104.88009452819824,False,60,58,165.41314125061035,200
1775114870.992296,read,k1,106.2021255493164,False,47,44,260.3609561920166,200
1775114871.0148711,read,k2,106.16397857666016,False,60,58,201.3850212097168,200
1775114871.015213,read,k2,105.06701469421387,False,60,58,201.73025131225586,200
1775114871.022254,read,k1,108.57391357421875,False,47,44,290.31896591186523,200
1775114871.022623,read,k5,107.89299011230469,False,57,57,332.7488899230957,200
1775114871.0264802,read,k5,103.47795486450195,False,59,57,336.6050720214844,200
1775114871.026824,read,k2,108.00886154174805,False,60,58,213.34028244018555,200
1775114871.027144,read,k1,106.14705085754395,False,47,44,295.2110767364502,200
1775114871.027488,read,k5,107.01107978820801,False,58,57,337.6138210296631,200
1775114871.032486,read,k1,106.59313201904297,False,47,44,300.5521297454834,200
1775114871.032759,read,k5,105.80682754516602,False,59,57,342.88477897644043,200
1775114871.0428128,read,k4,108.93011093139648,False,54,51,464.4742012023926,200
1775114871.043513,read,k2,113.5859489440918,False,61,58,230.02219200134277,200
1775114871.044103,read,k5,107.28192329406738,False,59,57,354.22706604003906,200
1775114871.0446012,read,k3,113.83700370788574,False,52,51,254.81820106506348,200
1775114871.049747,write,k1,615.6270503997803,False,45,45,,201
1775114871.060991,read,k4,106.65321350097656,False,54,51,482.6490879058838,200
1775114871.0617301,write,k4,607.4461936950684,False,52,52,,201
1775114871.0873759,read,k2,104.29000854492188,False,61,58,273.89025688171387,200
1775114871.1027489,read,k4,105.94296455383301,False,54,52,41.01729393005371,200
1775114871.128799,read,k2,105.78012466430664,False,61,58,315.31405448913574,200
1775114871.1304462,read,k4,106.05812072753906,False,54,52,68.71724128723145,200
1775114871.1336489,read,k4,105.59701919555664,False,54,52,71.92134857177734,200
1775114871.13395,read,k5,106.37211799621582,False,59,57,444.0767765045166,200
1775114871.135453,read,k4,104.60901260375977,False,54,52,73.72426986694336,200
1775114871.137355,read,k1,105.51786422729492,False,48,45,87.60762214660645,200
1775114871.140453,read,k3,103.80387306213379,False,52,51,350.6731986999512,200
1775114871.1441422,read,k3,106.536865234375,False,52,51,354.36224937438965,200
1775114871.144347,read,k5,107.31196403503418,False,59,57,454.47397232055664,200
1775114871.1513019,write,k4,607.1979999542236,False,53,53,,201
1775114871.154999,read,k3,107.1929931640625,False,52,51,365.220308303833,200
1775114871.156987,read,k2,106.26578330993652,False,62,58,343.5041904449463,200
1775114871.157135,read,k2,105.90696334838867,False,62,58,343.65224838256836,200
1775114871.1649659,read,k1,106.6441535949707,False,48,45,115.22102355957031,200
1775114871.172974,read,k5,106.03785514831543,False,60,57,483.10089111328125,200
1775114871.1730938,read,k1,105.08227348327637,False,48,45,123.34990501403809,200
1775114871.218296,read,k2,106.25886917114258,False,62,58,404.8130512237549,200
1775114871.2393548,read,k2,106.51803016662598,False,62,58,425.8723258972168,200
1775114871.241005,read,k3,105.47614097595215,False,52,51,451.22718811035156,200
1775114871.245653,read,k3,106.11319541931152,False,52,51,455.8742046356201,200
1775114871.247914,read,k2,105.09324073791504,False,62,58,434.4310760498047,200
1775114871.25012,read,k3,104.67767715454102,False,52,51,460.3421688079834,200
1775114871.2502558,read,k3,105.61490058898926,False,52,51,460.4783058166504,200
1775114871.2559402,read,k3,106.51516914367676,False,52,51,466.16125106811523,200
1775114871.257921,read,k2,106.00686073303223,False,62,58,444.43821907043457,200
1775114871.2582452,read,k4,103.78789901733398,False,55,53,106.94384574890137,200
1775114871.2605078,read,k5,104.03990745544434,False,60,57,570.6350803375244,200
1775114871.266061,read,k5,103.80125045776367,False,60,57,576.1878490447998,200
1775114871.273349,read,k1,103.48963737487793,False,48,45,223.6039638519287,200
1775114871.278816,read,k3,104.22396659851074,False,52,51,489.03703689575195,200
1775114871.283339,read,k3,105.00884056091309,False,52,51,493.5600757598877,200
1775114871.3032808,write,k2,616.1861419677734,False,59,59,,201
1775114871.3087249,write,k1,608.6158752441406,False,46,46,,201
1775114871.329875,read,k4,104.38776016235352,False,56,53,178.56979370117188,200
1775114871.349845,read,k5,104.01487350463867,False,60,57,659.9688529968262,200
1775114871.3556118,read,k5,106.05597496032715,False,60,57,665.7359600067139,200
1775114871.356032,read,k5,105.4990291595459,False,60,57,666.1567687988281,200
1775114871.360119,read,k1,105.40080070495605,False,48,46,51.390886306762695,200
1775114871.3606641,read,k5,105.7741641998291,False,60,57,670.7878112792969,200
1775114871.365345,read,k2,105.74722290039062,False,63,59,62.0579719543457,200
1775114871.3658419,read,k2,107.18393325805664,False,63,59,62.55793571472168,200
1775114871.367023,read,k5,106.45914077758789,False,60,57,677.1469116210938,200
1775114871.367518,read,k1,108.55913162231445,False,48,46,58.79020690917969,200
1775114871.368787,read,k1,106.05001449584961,False,48,46,60.060977935791016,200
1775114871.3754508,read,k2,106.51278495788574,False,63,59,72.16691970825195,200
1775114871.3805509,read,k3,104.0031909942627,False,52,51,590.7692909240723,200
1775114871.3972428,read,k5,106.29677772521973,False,60,57,707.3647975921631,200
1775114871.411488,read,k2,104.58588600158691,False,63,59,108.20293426513672,200
1775114871.416418,write,k2,630.7010650634766,False,60,60,,201
1775114871.420115,read,k4,105.70192337036133,False,57,53,268.798828125,200
1775114871.4276962,write,k1,610.3811264038086,False,47,47,,201
1775114871.431177,write,k4,612.1909618377686,False,54,54,,201
1775114871.4356449,read,k4,104.0048599243164,False,57,54,4.467010498046875,200
1775114871.4616902,read,k3,108.9780330657959,False,52,51,671.9071865081787,200
1775114871.46852,write,k3,606.6837310791016,False,52,52,,201
1775114871.469134,read,k5,108.34002494812012,False,60,57,779.2589664459229,200
1775114871.4694982,read,k2,107.93495178222656,False,63,60,53.08198928833008,200
1775114871.4731362,read,k4,107.18798637390137,False,57,54,41.96000099182129,200
1775114871.4864929,read,k4,107.4528694152832,False,57,54,55.314064025878906,200
1775114871.4872708,read,k4,109.71808433532715,False,57,54,56.059837341308594,200
1775114871.487741,read,k1,111.67216300964355,False,48,47,59.9207878112793,200
1775114871.488414,read,k3,119.2770004272461,False,52,52,19.89579200744629,200
1775114871.489005,read,k2,120.93877792358398,False,63,60,72.58892059326172,200
1775114871.496619,read,k5,121.96612358093262,False,60,57,806.7429065704346,200
1775114871.496979,read,k1,122.96199798583984,False,48,47,69.28277015686035,200
1775114871.497749,read,k3,111.3882064819336,False,52,52,29.22987937927246,200
1775114871.5152729,read,k4,107.01274871826172,False,57,54,84.09595489501953,200
1775114871.523476,read,k3,105.62992095947266,False,52,52,54.956674575805664,200
1775114871.528079,write,k2,608.0770492553711,False,61,61,,201
1775114871.528461,write,k5,609.2171669006348,False,58,58,,201
1775114871.528883,write,k5,606.2932014465332,False,59,59,,201
1775114871.550857,read,k2,108.49308967590332,False,64,61,22.778034210205078,200
1775114871.5510569,read,k3,113.04593086242676,False,52,52,82.53979682922363,200
1775114871.551192,read,k3,122.07603454589844,False,52,52,82.67378807067871,200
