Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,476,0,110,109.32370298786653,102.24483301863074,162.28637500898913,60.92226890756302,8.048575956370948,0.0,110,110,110,110,110,120,120,140,160,160,160
POST,/set,4503,0,610,612.3206453609372,603.8871250348166,684.8594999755733,72.885187652676,76.14020489818988,0.0,610,610,610,620,620,620,630,630,680,680,680
,Aggregated,4979,0,610,564.2333698900432,102.24483301863074,684.8594999755733,71.74151436031332,84.18878085456082,0.0,610,610,610,610,620,620,630,630,680,680,680
