Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,3892,0,110,107.98836324801192,101.52229102095589,178.59170900192112,60.094039054470706,65.82289913490807,0.0,110,110,110,110,110,120,120,130,150,180,180
POST,/set,3888,0,610,610.8616291104103,602.8179999557324,654.9059589742683,72.10622427983539,65.75524970105924,0.0,610,610,610,610,620,620,630,640,650,650,650
,Aggregated,7780,0,150,359.2957228460845,101.52229102095589,654.9059589742683,66.09704370179949,131.5781488359673,0.0,150,610,610,610,610,620,620,630,650,650,650
