Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,22888,743,110,111.53733069393198,101.02604102576151,472.3886669962667,57.87657287661657,386.98785919050005,12.562564635553196,110,110,110,120,120,130,140,160,380,440,470
POST,/set,239,0,610,612.290881123349,603.5336250206456,708.6612080456689,70.7071129707113,4.040986470924917,0.0,610,610,620,620,620,630,650,650,710,710,710
,Aggregated,23127,743,110,116.71223874740326,101.02604102576151,708.6612080456689,58.009166774765426,391.02884566142495,12.562564635553196,110,110,110,120,120,130,160,600,620,650,710
