Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,19785,0,2,2.494054148011903,0.33841701224446297,105.12108297552913,59.873439474349254,334.669864941218,0.0,2,2,3,3,4,6,11,15,45,100,110
POST,/set,2159,0,1206.7823329707608,1224.721089826255,1206.7823329707608,1323.9146249834448,76.89022695692451,36.52020411463683,0.0,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300
,Aggregated,21944,0,2,122.7450644482911,0.33841701224446297,1323.9146249834448,61.54766678818812,371.19006905585485,0.0,2,3,3,4,41,1200,1200,1200,1300,1300,1300
