write_ratio,read_avg_ms,write_avg_ms,read_p95_ms,write_p95_ms,stale_reads,total_reads,stale_rate
0.01,0.8170225261692355,1208.5407831479404,1.0,1200,0,157947,0.0
0.1,2.494054148011903,1224.721089826255,6.0,1300,0,19987,0.0
0.5,3.368856231628065,1230.2492852428752,9.0,1300,0,2352,0.0
0.9,3.698204285404139,1238.7991557995242,12.0,1300,0,268,0.0
