Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,267,0,3,3.698204285404139,0.5199169972911477,16.620665963273495,60.89887640449438,4.5207204165792785,0.0,3,4,5,5,8,12,15,16,17,17,17
POST,/set,2270,0,1210.5249169981107,1238.7991557995242,1210.5249169981107,1311.8994170217775,77.89030837004405,38.43458930949424,0.0,1200,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300
,Aggregated,2537,0,1200,1108.8141522306357,0.5199169972911477,1311.8994170217775,76.10208908159244,42.955309726073516,0.0,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300,1300
