read_latency_ms,write_latency_ms
18.31793785095215,1234.8451614379883
11.962890625,1247.873067855835
11.687755584716797,1216.5861129760742
11.258125305175781,1234.4958782196045
11.321067810058594,1212.7530574798584
10.88404655456543,1236.6688251495361
10.84280014038086,1245.375156402588
11.199951171875,1233.2611083984375
11.430025100708008,1251.546859741211
11.689901351928711,1249.5648860931396
2.062082290649414,1252.2718906402588
2.434968948364258,1255.6679248809814
2.6092529296875,1286.9181632995605
1.6529560089111328,1216.3469791412354
1.56402587890625,1210.176944732666
0.5669593811035156,1212.104082107544
0.41294097900390625,1209.5799446105957
0.6418228149414062,1234.0710163116455
0.5488395690917969,1207.5510025024414
0.43320655822753906,1213.1989002227783
0.3681182861328125,1210.0918292999268
0.3383159637451172,1209.0229988098145
0.5688667297363281,1208.8141441345215
0.6482601165771484,1210.3700637817383
0.6170272827148438,1207.5340747833252
0.49686431884765625,1207.1559429168701
0.47779083251953125,1207.845687866211
0.45609474182128906,1209.460973739624
0.43487548828125,1209.0260982513428
0.5772113800048828,1210.4339599609375
0.3960132598876953,1207.190990447998
0.3509521484375,1208.7788581848145
0.37026405334472656,1207.7980041503906
0.39005279541015625,1206.040859222412
0.4470348358154297,1204.9899101257324
0.5521774291992188,1208.0929279327393
0.5609989166259766,1211.658000946045
0.7340908050537109,1211.806058883667
0.6089210510253906,1209.6989154815674
0.6442070007324219,1205.9950828552246
0.5359649658203125,1206.9480419158936
0.5271434783935547,1209.9661827087402
0.4868507385253906,1226.6497611999512
0.4909038543701172,1208.0919742584229
0.3662109375,1230.5808067321777
0.4131793975830078,1208.5990905761719
0.4048347473144531,1213.09494972229
0.3478527069091797,1224.7090339660645
0.47206878662109375,1209.069013595581
0.4229545593261719,1208.3439826965332
0.5850791931152344,1206.6576480865479
0.6098747253417969,1206.6378593444824
0.8540153503417969,1233.870029449463
0.49686431884765625,1208.827018737793
0.7550716400146484,1206.7809104919434
0.530242919921875,1207.9780101776123
0.5412101745605469,1223.8011360168457
0.5879402160644531,1215.0468826293945
6.746768951416016,1211.399793624878
5.036115646362305,1206.7980766296387
7.666826248168945,1223.0720520019531
4.32276725769043,1218.531608581543
10.010957717895508,1208.3210945129395
1.9168853759765625,1208.111047744751
7.977962493896484,1209.5441818237305
7.980108261108398,1208.2359790802002
8.446931838989258,1227.207899093628
0.4379749298095703,1207.920789718628
0.3941059112548828,1204.9946784973145
0.3821849822998047,1208.4839344024658
0.37288665771484375,1208.1987857818604
0.38504600524902344,1206.0298919677734
0.3712177276611328,1206.6001892089844
2.2568702697753906,1207.7689170837402
2.4347305297851562,1207.495927810669
0.7848739624023438,1204.787015914917
0.7748603820800781,1205.711841583252
0.7171630859375,1207.5111865997314
0.6997585296630859,1208.1530094146729
0.3800392150878906,1208.21213722229
0.3509521484375,1207.3731422424316
0.4189014434814453,1207.2010040283203
0.5598068237304688,1209.4850540161133
0.5562305450439453,1208.1000804901123
0.5440711975097656,1205.9509754180908
0.3681182861328125,1205.718994140625
0.3249645233154297,1207.7789306640625
0.41484832763671875,1210.495948791504
0.3991127014160156,1207.082986831665
0.35881996154785156,1208.9710235595703
0.4451274871826172,1207.4220180511475
0.4169940948486328,1208.6501121520996
0.37598609924316406,1207.9050540924072
0.41794776916503906,1209.9032402038574
0.5891323089599609,1205.0089836120605
0.5319118499755859,1209.7148895263672
0.7028579711914062,1210.263729095459
0.5559921264648438,1207.9150676727295
0.3490447998046875,1207.9122066497803
0.3833770751953125,1205.1539421081543
0.38909912109375,1207.062005996704
0.32711029052734375,1207.1597576141357
0.5331039428710938,1208.7881565093994
0.7500648498535156,1205.996036529541
0.6139278411865234,1208.709955215454
0.3578662872314453,1206.2389850616455
0.3521442413330078,1206.9580554962158
0.4069805145263672,1209.2370986938477
0.3361701965332031,1208.791971206665
0.48923492431640625,1205.3849697113037
0.5278587341308594,1205.366849899292
0.5581378936767578,1204.5040130615234
0.44274330139160156,1205.7268619537354
0.3218650817871094,1206.0608863830566
0.3159046173095703,1207.8661918640137
