timestamp,request_type,node,key,latency_ms,stale,returned_version,latest_version,interval_ms,status_code
1775116758.56672,read,http://localhost:8082,k5,26.557207107543945,False,,,,404
1775116758.5668962,read,http://localhost:8084,k2,28.209209442138672,False,,,,404
1775116758.566995,read,http://localhost:8084,k2,28.560876846313477,False,,,,404
1775116758.567212,read,http://localhost:8081,k4,32.61995315551758,False,,,,404
1775116758.567295,read,http://localhost:8081,k5,27.605056762695312,False,,,,404
1775116758.56737,read,http://localhost:8081,k2,28.09000015258789,False,,,,404
1775116758.567439,read,http://localhost:8080,k5,28.031110763549805,False,,,,404
1775116758.567513,read,http://localhost:8081,k2,28.5341739654541,False,,,,404
1775116758.5675788,read,http://localhost:8083,k1,28.448104858398438,False,,,,404
1775116758.567647,read,http://localhost:8083,k4,28.095006942749023,False,,,,404
1775116758.574838,read,http://localhost:8083,k3,3.0159950256347656,False,,,,404
1775116758.574937,read,http://localhost:8082,k2,3.4589767456054688,False,,,,404
1775116758.575031,read,http://localhost:8082,k4,3.340005874633789,False,,,,404
1775116758.577348,read,http://localhost:8081,k3,3.087282180786133,False,,,,404
1775116758.5780668,read,http://localhost:8081,k3,2.238035202026367,False,,,,404
1775116758.5781388,read,http://localhost:8083,k3,3.687143325805664,False,,,,404
1775116758.5782132,read,http://localhost:8083,k4,3.618955612182617,False,,,,404
1775116758.578926,read,http://localhost:8083,k5,3.545999526977539,False,,,,404
1775116758.5790038,read,http://localhost:8084,k5,3.4401416778564453,False,,,,404
1775116758.579106,read,http://localhost:8081,k5,2.031087875366211,False,,,,404
1775116758.5836911,read,http://localhost:8083,k5,1.0459423065185547,False,,,,404
1775116758.583769,read,http://localhost:8084,k2,4.524946212768555,False,,,,404
1775116758.584206,read,http://localhost:8080,k5,4.298925399780273,False,,,,404
1775116758.584279,read,http://localhost:8081,k5,5.544900894165039,False,,,,404
1775116758.584353,read,http://localhost:8081,k2,2.9859542846679688,False,,,,404
1775116758.584425,read,http://localhost:8083,k3,3.665924072265625,False,,,,404
1775116758.585931,read,http://localhost:8083,k3,1.9180774688720703,False,,,,404
1775116758.5865679,read,http://localhost:8081,k2,0.8327960968017578,False,,,,404
1775116758.586776,read,http://localhost:8081,k5,0.5700588226318359,False,,,,404
1775116758.588199,read,http://localhost:8081,k1,1.8444061279296875,False,,,,404
1775116758.589409,read,http://localhost:8081,k5,1.7499923706054688,False,,,,404
1775116758.589493,read,http://localhost:8080,k2,2.501964569091797,False,,,,404
1775116758.589891,read,http://localhost:8084,k1,1.3689994812011719,False,,,,404
1775116758.590235,read,http://localhost:8080,k3,1.0080337524414062,False,,,,404
1775116758.590305,read,http://localhost:8080,k3,2.3348331451416016,False,,,,404
1775116758.5903869,read,http://localhost:8084,k4,2.6209354400634766,False,,,,404
1775116758.590461,read,http://localhost:8084,k3,2.2017955780029297,False,,,,404
1775116758.595114,read,http://localhost:8084,k4,0.6840229034423828,False,,,,404
1775116758.59553,read,http://localhost:8083,k4,1.5208721160888672,False,,,,404
1775116758.5956259,read,http://localhost:8084,k5,1.7418861389160156,False,,,,404
1775116758.5964842,read,http://localhost:8083,k5,0.5130767822265625,False,,,,404
1775116758.597091,read,http://localhost:8084,k4,0.4558563232421875,False,,,,404
1775116758.598339,read,http://localhost:8082,k2,0.6148815155029297,False,,,,404
1775116758.5985851,read,http://localhost:8084,k4,0.5409717559814453,False,,,,404
1775116758.5989492,read,http://localhost:8084,k5,0.5879402160644531,False,,,,404
1775116758.599215,read,http://localhost:8080,k4,0.5199909210205078,False,,,,404
1775116758.599401,read,http://localhost:8082,k2,1.5690326690673828,False,,,,404
1775116758.5997,read,http://localhost:8083,k5,0.4668235778808594,False,,,,404
1775116758.600953,read,http://localhost:8082,k4,0.37598609924316406,False,,,,404
1775116758.6021109,read,http://localhost:8081,k1,0.3829002380371094,False,,,,404
1775116758.6041348,read,http://localhost:8083,k1,0.843048095703125,False,,,,404
1775116758.606555,read,http://localhost:8083,k1,0.9770393371582031,False,,,,404
1775116758.6066291,read,http://localhost:8081,k2,1.1518001556396484,False,,,,404
1775116758.6069639,read,http://localhost:8083,k5,1.2791156768798828,False,,,,404
1775116758.607636,read,http://localhost:8083,k1,0.8428096771240234,False,,,,404
