write_ratio,read_avg_ms,write_avg_ms,read_p95_ms,write_p95_ms,stale_reads,total_reads,stale_rate
0.01,1.1430017935137131,1214.0689269990842,2.0,1200.0,30353,144019,0.2107569140182892
0.1,2.5152135280607952,1225.9568908936358,6.0,1300.0,6131,20106,0.3049338505918631
0.5,3.359349915742079,1223.1839184412277,8.0,1200.0,690,2240,0.3080357142857143
0.9,6.155817622461622,1257.4295098102464,23.0,1300.0,95,274,0.3467153284671533
