key,stale_reads,total_reads,stale_rate
k1,7857,28630,0.274432413552218
k2,6500,28966,0.22440102188773045
k3,5327,28707,0.185564496464277
k4,4622,28833,0.16030243124197968
k5,6047,28883,0.20936190838901775
ALL,30353,144019,0.21075691401828925
