key,stale_reads,total_reads,stale_rate
k1,1147,4058,0.2826515524889108
k2,1120,3982,0.2812656956303365
k3,1372,4042,0.33943592281048984
k4,1177,3978,0.29587732528909
k5,1315,4046,0.3250123578843302
ALL,6131,20106,0.3049338505918631
