key,stale_reads,total_reads,stale_rate
k1,17,49,0.3469387755102041
k2,21,55,0.38181818181818183
k3,27,62,0.43548387096774194
k4,21,61,0.3442622950819672
k5,9,47,0.19148936170212766
ALL,95,274,0.3467153284671533
