Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,144723,704,1,1.1430017935137133,0.29429199639707804,193.41929198708385,57.635759347166655,2419.36414292956,11.768912727226565,1,1,1,1,2,2,4,8,61,190,190
POST,/set,1538,0,1203.7289580330253,1214.0689269990842,1203.7289580330253,1354.1359580121934,81.82119635890767,25.71106217965122,0.0,1200,1200,1200,1200,1200,1200,1300,1300,1300,1400,1400
,Aggregated,146261,704,1,13.897461786035079,0.29429199639707804,1354.1359580121934,57.890080062354286,2445.0752051092113,11.768912727226565,1,1,1,1,2,3,8,1200,1200,1300,1400
