Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,19858,0,2,2.5152135280607952,0.336292025167495,78.50300002610311,58.79262765636016,336.0276637618727,0.0,2,2,3,3,4,6,10,15,51,78,79
POST,/set,2152,0,1208.3783749840222,1225.9568908936358,1208.3783749840222,1308.5442919982597,82.80808550185874,36.41512400118592,0.0,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300
,Aggregated,22010,0,2,122.13568102877488,0.336292025167495,1308.5442919982597,61.14070876874148,372.4427877630586,0.0,2,3,3,4,42,1200,1200,1200,1300,1300,1300
