key,stale_reads,total_reads,stale_rate
k1,140,453,0.3090507726269316
k2,157,442,0.3552036199095023
k3,134,472,0.2838983050847458
k4,141,429,0.32867132867132864
k5,118,444,0.26576576576576577
ALL,690,2240,0.3080357142857143
