key,stale_reads,total_reads,stale_rate
k1,4397,38425,0.11443070917371503
k2,4126,38580,0.10694660445826853
k3,4314,38530,0.11196470282896444
k4,4285,38421,0.11152755003773977
k5,4370,38159,0.11452082077622579
ALL,21492,192115,0.11187049423522369
