Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,17666,0,8,13.77803005094018,0.7445839582942426,294.1836250247434,62.08088984489981,295.0839930464643,0.0,8,11,13,16,27,41,61,86,230,290,290
POST,/set,160115,0,7,8.594011391348992,0.3043749602511525,1013.7736249598674,73.08670018424257,2674.4805585098284,0.0,7,7,8,9,14,20,31,42,110,210,1000
,Aggregated,177781,0,7,9.109144468788864,0.3043749602511525,1013.7736249598674,71.99305887580788,2969.564551556293,0.0,7,8,9,10,15,22,35,49,120,260,1000
