Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,192115,0,6,7.09119507668547,0.4825419746339321,330.55141696240753,61.887182156520836,3208.5938678364937,0.0,6,6,7,8,10,14,21,30,88,320,330
POST,/set,21117,0,5,5.3477480168886204,0.3542909980751574,129.24133299384266,72.88601600606147,352.68394819302625,0.0,5,5,6,6,7,9,14,20,63,100,130
,Aggregated,213232,0,6,6.918536322081424,0.3542909980751574,330.55141696240753,62.97642942897876,3561.27781602952,0.0,6,6,7,8,10,14,21,29,87,320,330
