key,stale_reads,total_reads,stale_rate
k1,8311,19411,0.4281592911235897
k2,8140,19467,0.41814352493964146
k3,8032,19220,0.41789802289281996
k4,8138,19352,0.4205250103348491
k5,8273,19487,0.42453943654744186
ALL,40894,96937,0.4218616214654879
