Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,96937,0,7,9.381413625062322,0.5935840308666229,193.213333026506,61.88948492319754,1619.31361265289,0.0,7,8,9,10,16,22,31,45,130,190,190
POST,/set,96899,0,6,6.7297411875589805,0.32170803751796484,158.84629200445488,72.88918358290591,1618.6788300901862,0.0,6,6,7,7,9,13,19,27,100,150,160
,Aggregated,193836,0,6,8.055837325914402,0.32170803751796484,193.213333026506,67.38825605150745,3237.9924427430765,0.0,6,7,8,9,12,18,27,38,120,180,190
