write_ratio,read_avg_ms,write_avg_ms,read_p95_ms,write_p95_ms,stale_reads,total_reads,stale_rate
0.01,5.991753712974251,4.747137473795498,11.0,8,2420,228064,0.010611056545531
0.1,7.09119507668547,5.3477480168886204,14.0,9,21492,192115,0.1118704942352236
0.5,9.381413625062322,6.7297411875589805,22.0,13,40894,96937,0.4218616214654879
0.9,13.77803005094018,8.594011391348992,41.0,20,11179,17666,0.6327974640552474
