Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,228064,0,5,5.991753712974251,0.5401669768616557,141.54070802032948,61.89945804686404,3811.222496189673,0.0,5,6,6,7,8,11,16,21,66,130,140
POST,/set,2429,0,5,4.747137473795498,0.3935829736292362,69.03454201528803,72.89666529435982,40.59149819017782,0.0,5,5,5,6,6,8,9,12,35,69,69
,Aggregated,230493,0,5,5.9786375973223,0.3935829736292362,141.54070802032948,62.01534970693253,3851.8139943798506,0.0,5,6,6,7,8,11,16,21,66,130,140
